id,cores,threads,name,launch_date,lithography,base_frequency,turbo_frequency,cache_l1,cache_l2,cache_l3,tdp,product_line,socket,memory_type,url,vertical_segment,max_temp,max_memory_speed,sku
391,3,3,P860,,,2000,,384,1536,,35,AMD Phenom II Triple-Core Mobile Processors,AM2+,DDR3,https://www.amd.com/en/product/1646,Laptop,100,,1646
392,2,2,N660,,,3000,,256,2048,,35,AMD Phenom II Dual-Core Mobile Processors,S1,DDR3,https://www.amd.com/en/product/1621,Laptop,100,,1621
393,4,4,A4-7210 with Radeon R3 Graphics,,28,1800,2200,,2048,,65,AMD A4-Series APU for Laptops,FT3b,DDR3L,https://www.amd.com/en/product/5946,Laptop,90,1600,5946
394,2,2,P650,,,2600,,256,2048,,35,AMD Phenom II Dual-Core Mobile Processors,S1,DDR3,https://www.amd.com/en/product/1626,Laptop,100,,1626
395,4,4,A4 Micro-6400T with Radeon R3 Graphics,,28,1600,,,2048,,4.5,AMD A4-Series APU for Laptops,FT3b,DDR3L,https://www.amd.com/en/product/5801,"Laptop, Tablet",,1333,5801
396,2,2,N640,,,2800,,256,2048,,35,AMD Phenom II Dual-Core Mobile Processors,S1,Not Listed,https://www.amd.com/en/product/1616,Laptop,100,,1616
397,4,4,A4-6210 with Radeon R3 Graphics,,28,1800,,,2048,,15,AMD A4-Series APU for Laptops,FT3b,DDR3L,https://www.amd.com/en/product/5746,Laptop,,1599,5746
398,4,4,B99,,,3300,,,2048,,95,AMD Business Class - AMD Phenom X4 Quad-Core,AM3,Not Listed,https://www.amd.com/en/product/1606,Desktop,,,1606
399,4,4,B97,,,3200,,,2048,,95,AMD Business Class - AMD Phenom X4 Quad-Core,AM3,Not Listed,https://www.amd.com/en/product/1601,Desktop,,,1601
400,,,B95,,,3000,,,2048,,95,AMD Business Class - AMD Phenom X4 Quad-Core,AM3,Not Listed,https://www.amd.com/en/product/1596,Desktop,,,1596
401,4,4,A4-5100 with Radeon HD 8330,,28,1550,,,2048,,15,AMD A4-Series APU for Laptops,FT3,Not Listed,https://www.amd.com/en/product/5741,"Laptop, Tablet",,,5741
402,3,3,B77,,,3200,,,1536,,95,AMD Business Class - AMD Phenom X3 Triple-Core,AM3,Not Listed,https://www.amd.com/en/product/1591,Desktop,,,1591
403,4,4,A4-5000 with Radeon HD 8330,,28,1500,,,2048,,15,AMD A4-Series APU for Laptops,FT3,Not Listed,https://www.amd.com/en/product/5766,"Laptop, Tablet",,,5766
404,3,3,B75,,,3000,,,1536,,95,AMD Business Class - AMD Phenom X3 Triple-Core,AM3,Not Listed,https://www.amd.com/en/product/1586,Desktop,,,1586
405,2,2,B60,,,3500,,,1024,,80,AMD Business Class - AMD Phenom X2 Dual-Core,AM3,Not Listed,https://www.amd.com/en/product/1581,Desktop,,,1581
406,2,2,B59,,,3400,,,1024,,80,AMD Business Class - AMD Phenom X2 Dual-Core,AM3,Not Listed,https://www.amd.com/en/product/1576,Desktop,,,1576
407,2,2,B57,,,3200,,,1024,,80,AMD Business Class - AMD Phenom X2 Dual-Core,AM3,Not Listed,https://www.amd.com/en/product/1571,Desktop,,,1571
408,4,4,641,,32,2800,,512,4096,,100,AMD Athlon II X4,FM1 uPGA,Not Listed,https://www.amd.com/en/product/1326,Boxed Processor,70.1,,1326
409,4,4,638,,32,2700,,512,4096,,65,AMD Athlon II X4,FM1 uPGA,Not Listed,https://www.amd.com/en/product/1321,Boxed Processor,70.1,,1321
410,4,4,631,,32,2600,,,4096,,100,AMD Athlon II X4,FM1 uPGA,Not Listed,https://www.amd.com/en/product/1311,Boxed Processor,70.1,,1311
411,4,4,631,,32,2600,,,4096,,65,AMD Athlon II X4,FM1 uPGA,Not Listed,https://www.amd.com/en/product/1316,Boxed Processor,,,1316
412,4,4,620e,,,2700,,,,,45,AMD Athlon II X4,AM3,DDR3,https://www.amd.com/en/product/1306,Boxed Processor,,,1306
413,3,3,460,,,3400,,384,1536,,95,AMD Athlon II X3,AM3,DDR3,https://www.amd.com/en/product/1301,Boxed Processor,75,,1301
414,3,3,425e,,,2700,,384,1536,,45,AMD Athlon II X3,AM3,DDR3,https://www.amd.com/en/product/1296,Boxed Processor,,,1296
415,2,2,255e,,,3100,,256,2048,,45,AMD Athlon II X2,AM3,DDR3,https://www.amd.com/en/product/1291,Boxed Processor,72,,1291
416,4,4,A10-8700P with Radeon R6 Graphics,,28,1800,3200,,2048,,,AMD A10-Series APU for AIOs,FP4,DDR3,https://www.amd.com/en/product/5981,All-in-One,90,2133,5981
417,4,4,7th Gen AMD Athlon X4 970,7/27/2017,28,3800,4000,,2048,,65,AMD Athlon X4,AM4,DDR4,https://www.amd.com/en/product/2071,Boxed Processor,,2400,2071
418,4,4,A8-8600P with Radeon R6 Graphics,,28,1600,3000,,2048,,,AMD A8-Series APU for AIOs,FP4,DDR3,https://www.amd.com/en/product/5986,All-in-One,90,2133,5986
419,4,4,7th Gen AMD Athlon X4 950,7/27/2017,28,3500,3800,,2048,,,AMD Athlon X4,AM4,DDR4,https://www.amd.com/en/product/2076,Boxed Processor,,2400,2076
420,4,4,A8-6410 with Radeon R5 Graphics,,28,2200,2500,,2048,,,AMD A8-Series APU for AIOs,FT3b,DDR3L,https://www.amd.com/en/product/5996,All-in-One,90,1866,5996
421,4,4,7th Gen AMD Athlon X4 940,7/27/2017,28,3200,3600,,2048,,,AMD Athlon X4,AM4,DDR4,https://www.amd.com/en/product/2081,Boxed Processor,,2400,2081
422,2,2,A6-8500P with Radeon R5 Graphics,,28,1600,3000,,1024,,,AMD A6-Series APU for AIOs,FP4,Not Listed,https://www.amd.com/en/product/5991,All-in-One,90,,5991
423,4,,880K with Near Silent Thermal Solution,,28,4000,4200,256,4096,,95,AMD Athlon X4,FM2+,DDR3,https://www.amd.com/en/product/1371,Boxed Processor,72.4,2133,1371
424,4,4,A6-7310 with Radeon R4 Graphics,,28,2000,2400,,2048,,,AMD A6-Series APU for AIOs,FP4,DDR3L,https://www.amd.com/en/product/6001,All-in-One,90,1866,6001
425,4,4,A4-7210 with Radeon R3 Graphics,,28,1800,2200,,2048,,65,AMD A4-Series APU for AIOs,FP4,DDR3L,https://www.amd.com/en/product/6006,All-in-One,90,1600,6006
426,4,4,870K with Near Silent Thermal Solution,,28,3900,4100,128,4096,,95,AMD Athlon X4,FM2+,DDR3,https://www.amd.com/en/product/1366,Boxed Processor,72.4,2133,1366
427,4,4,A10-6800B with Radeon HD 8670D,,32,4100,4400,192,4096,,45,AMD Business Class - Quad-Core A10-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5626,Desktop,74,2133,5626
428,4,4,860K,,28,3700,4000,128,4096,,95,AMD Athlon X4,FM2+,DDR3,https://www.amd.com/en/product/1356,Desktop,72.4,2133,1356
429,4,4,A10-6790B with Radeon HD 8670D,,32,4000,4300,192,4096,,45,AMD Business Class - Quad-Core A10-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5631,Desktop,74,1866,5631
430,4,4,860K with Near Silent Thermal Solution,,28,3700,4000,128,4096,,95,AMD Athlon X4,FM2+,DDR3,https://www.amd.com/en/product/1361,Boxed Processor,72.4,2133,1361
431,4,4,845 with Near Silent Thermal Solution,,28,3500,3800,,2048,,,AMD Athlon X4,FM2+,DDR3,https://www.amd.com/en/product/1351,Boxed Processor,71.3,2133,1351
432,4,4,A8-6500B with Radeon HD 8570D,,32,3500,4100,192,4096,,65,AMD Business Class - Quad-Core A8-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5531,Desktop,71.3,1866,5531
433,4,4,760K,,32,3800,4100,,4096,,100,AMD Athlon X4,FM2,Not Listed,https://www.amd.com/en/product/1346,Boxed Processor,,,1346
434,4,,750,,,3400,4000,192,4096,,65,AMD Athlon X4,FM2,DDR3,https://www.amd.com/en/product/1336,Boxed Processor,71.3,1866,1336
435,2,2,A6-6420B with Radeon HD 8470D,,32,4000,4200,96,1024,,65,AMD Business Class - Dual-Core A6-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5521,Desktop,70,1866,5521
436,4,4,750K,,32,3400,4000,,4096,,100,AMD Athlon X4,FM2,Not Listed,https://www.amd.com/en/product/1341,Boxed Processor,,,1341
437,4,4,740,,32,3200,3700,,4096,,65,AMD Athlon X4,FM2,Not Listed,https://www.amd.com/en/product/1331,Boxed Processor,,,1331
438,2,2,A6-6400B with Radeon HD 8470D,,32,3900,4100,96,1024,,65,AMD Business Class - Dual-Core A6-Series APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5516,Desktop,70,1866,5516
439,,,2800+,,65,56,,,,,45,AMD Sempron,939,Not Listed,https://www.amd.com/en/product/1916,Desktop,70,,1916
440,4,4,X1150,,28,2000,,,2048,,17,AMD Opteron X1100 Series Processors,FT3,DDR3,https://www.amd.com/en/product/1566,Server,70,800,1566
441,16,16,6386 SE,,32,2800,3500,48,16384,16384,140,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1896,Server,64.4,2000,1896
442,16,16,6380,,32,2500,3400,768,16384,16384,115,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1891,Server,69,2000,1891
443,4,4,A10 PRO-7850B with Radeon R7 Graphics,,28,3700,4000,256,4096,,95,AMD PRO A-Series A10 APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5636,Desktop,72.4,2133,5636
444,16,16,6378,,32,2400,3300,768,16384,16384,115,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1886,Server,69,2000,1886
445,4,4,A10 PRO-7800B with Radeon R7 Graphics,,28,3500,3900,256,4096,,65,AMD PRO A-Series A10 APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5661,Desktop,71.3,2133,5661
446,16,16,6376,,32,2300,2000,768,16384,16384,115,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1881,Server,69,2000,1881
447,4,4,A8 PRO-7600B with Radeon R7 Graphics,,28,3100,3800,,4096,,65,AMD PRO A-Series A8 APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5676,Desktop,71.3,2133,5676
448,16,16,6370P,,32,2000,2500,48,16384,16384,99,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1876,Server,69,2000,1876
449,2,2,A6 PRO-7400B with Radeon R5 Graphics,,28,3500,3900,,1024,,65,AMD PRO A-Series A6 APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5671,Desktop,70,1866,5671
450,16,16,6366 HE,,32,1800,3100,768,16384,16384,85,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1871,Server,65,1800,1871
451,2,2,A4 PRO-7350B with Radeon R5 Graphics,,28,3400,3800,,1024,,65,AMD PRO A-Series A4 APU for Desktops,FM2+,DDR3,https://www.amd.com/en/product/5666,Desktop,70,1866,5666
452,12,12,6348,,32,2800,3400,576,12288,16384,115,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1866,Server,70.4,2000,1866
453,12,12,6344,,32,2600,2000,576,12288,16384,115,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1861,Server,70.4,2000,1861
454,2,2,A4 PRO-7300B with Radeon HD 8470D,,32,3800,4000,96,1024,,65,AMD PRO A-Series A4 APU for Desktops,FM2,DDR3,https://www.amd.com/en/product/5641,Desktop,70,1600,5641
455,12,12,6338P,,32,2300,2800,48,12288,16384,99,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1856,Server,69,2000,1856
456,4,4,A10 PRO-7350B with Radeon R6 Graphics,,28,2100,3300,,4096,,19,AMD PRO A-Series A10 APU for Laptops,FP3,DDR3/DDR3L,https://www.amd.com/en/product/5891,Laptop,,1600,5891
457,4,4,A8 PRO-7150B with Radeon R5 Graphics,,28,1900,3200,,4096,,100,AMD PRO A-Series A8 APU for Laptops,FP3,DDR3/DDR3L,https://www.amd.com/en/product/5901,Laptop,,1600,5901
458,8,8,6328,,32,3200,3800,384,8192,16384,115,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1851,Server,71.7,2000,1851
459,2,2,A6 PRO-7050B with Radeon R4 Graphics,,28,2200,3000,,1024,,100,AMD PRO A-Series A6 APU for Laptops,FP3,DDR3/DDR3L,https://www.amd.com/en/product/5896,Laptop,,1600,5896
460,8,8,6320,,32,2800,3300,384,8192,16384,115,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1846,Server,71.7,2000,1846
461,4,4,A4 PRO-3350B with Radeon R4 Graphics,Q2 2016,28,2000,2400,,2048,,15,AMD PRO A-Series A4 APU for Laptops,FT3b,DDR3,https://www.amd.com/en/product/6111,Laptop,90,1600,6111
462,4,4,6308,,32,3500,,192,4096,16384,115,AMD Opteron 6300 Series Processor,G34,DDR3,https://www.amd.com/en/product/1841,Server,74.4,2000,1841
463,4,4,A4 PRO-3340B with Radeon HD 8240 Graphics,,28,2200,,,2048,,25,AMD PRO A-Series A4 APU for Laptops,FT3,DDR3/DDR3L,https://www.amd.com/en/product/6021,Laptop,,1600,6021
464,16,16,6284 SE,,32,2700,3400,768,16384,16384,140,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1836,Server,64.4,2000,1836
465,2,4,AMD Athlon 3000G,,14,3500,,192,1024,4096,35,AMD Athlon Desktop Processors with Radeon Graphics,AM4,,https://www.amd.com/en/product/8956,Boxed Processor,95,2667,8956
466,16,16,6282 SE,,32,2600,3300,768,16384,16384,140,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1561,Server,64.4,2000,1561
467,4,4,FX-7600P with Radeon R7 Graphics,,28,2700,3600,,4096,,35,AMD FX-Series Processors for Laptops,FP3,DDR3,https://www.amd.com/en/product/5886,Laptop,,2133,5886
468,2,4,AMD Athlon 240GE,,14,3500,,192,1024,4096,35,AMD Athlon Desktop Processors with Radeon Vega Graphics,AM4,,https://www.amd.com/en/product/8331,Desktop,95,2667,8331
469,16,16,6278,,32,2400,3300,768,16384,16384,115,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1831,Server,69,2000,1831
470,4,4,FX-7500 with Radeon R7 Graphics,,28,2100,3300,,4096,,20,AMD FX-Series Processors for Laptops,FP3,DDR3,https://www.amd.com/en/product/5881,Laptop,,1600,5881
471,4,4,FX-8800P with Radeon R7 Graphics,,28,2100,3400,,2048,,,AMD FX-Series Processors for AIOs,FP4,DDR3,https://www.amd.com/en/product/5976,All-in-One,90,2133,5976
472,16,16,6276,,32,2300,3200,768,16384,16384,115,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1556,Server,69,2000,1556
473,2,4,AMD Athlon 220GE,,14,3400,,192,1024,4096,35,AMD Athlon Desktop Processors with Radeon Vega Graphics,AM4,,https://www.amd.com/en/product/8326,Boxed Processor,95,2667,8326
474,2,4,AMD Athlon 200GE,,14,3200,,192,1024,4096,35,AMD Athlon Desktop Processors with Radeon Vega Graphics,AM4,,https://www.amd.com/en/product/8206,Boxed Processor,95,2667,8206
475,4,4,Athlon 5370 APU with Radeon R3 Series,,28,2200,,256,2048,,25,AMD Athlon Quad-Core APU,AM1,DDR3,https://www.amd.com/en/product/6096,Desktop,76,1600,6096
476,16,16,6274,,32,2200,3100,768,16384,16384,115,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1551,Server,69,2000,1551
477,16,16,6272,,32,2100,3000,768,16384,16384,115,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1546,Server,69,2000,1546
478,4,4,Athlon 5350 APU with Radeon R3 Series,,28,2050,,256,2048,,25,AMD Athlon Quad-Core APU,AM1,DDR3,https://www.amd.com/en/product/5836,Boxed Processor,76,1600,5836
479,2,4,AMD Athlon PRO 200U Mobile Processor with Radeon Vega 3 Graphics,,14,2300,3200,192,1024,4096,15,AMD Athlon PRO Mobile Processors with Radeon Vega Graphics,FP5,,https://www.amd.com/en/product/8201,Laptop,105,2400,8201
480,16,16,6262 HE,,32,1600,2900,768,16384,16384,85,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1826,Server,65,1800,1826
481,4,4,Athlon 5150 APU with Radeon R3 Series,,28,1600,,256,2048,,25,AMD Athlon Quad-Core APU,AM1,DDR3,https://www.amd.com/en/product/5831,Boxed Processor,76,1600,5831
482,2,4,AMD Athlon PRO 200GE,,14,3200,,192,1024,4096,35,AMD Athlon PRO Desktop Processors with Radeon Vega Graphics,AM4,,https://www.amd.com/en/product/8211,Desktop,95,2667,8211
483,12,12,6238,,32,2600,3200,576,12288,16384,115,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1541,Server,70.4,2000,1541
484,4,4,Sempron 3850 APU with Radeon R3 Series,,28,1300,,256,2048,,25,AMD Sempron Quad-Core APU,AM1,DDR3,https://www.amd.com/en/product/5911,Boxed Processor,90,1600,5911
485,12,12,6234,,32,2400,3000,576,12288,16384,115,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1821,Server,70.4,2000,1821
486,2,2,Sempron 2650 APU with Radeon R3 Series,,28,1450,,128,1024,,25,AMD Sempron Dual-Core APU,AM1,DDR3,https://www.amd.com/en/product/5906,Boxed Processor,90,1333,5906
487,8,8,6220,,32,3000,3600,384,8192,16384,115,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1816,Server,71.7,2000,1816
488,4,4,E2-7110 with Radeon R2 Graphics,,28,1800,1800,,2048,,65,AMD E2-Series APU for Laptops,FT3b,DDR3L,https://www.amd.com/en/product/5951,Laptop,90,1600,5951
489,4,4,E2-7110 with Radeon R2 Graphics,,28,1800,1800,,2048,,65,AMD E2-Series APU for Laptops,FP4,DDR3L,https://www.amd.com/en/product/5966,Laptop,90,1600,5966
490,4,4,E2-6110 with Radeon R2 Graphics,,28,1500,,,2048,,15,AMD E2-Series APU for Laptops,FT3b,DDR3,https://www.amd.com/en/product/5871,Laptop,,1600,5871
491,8,8,6212,,32,2600,3200,384,8192,16384,115,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1811,Server,71.7,2000,1811
492,4,4,E2-3800 with Radeon HD 8280,,28,1300,,128,2048,,15,AMD E2-Series APU for Laptops,FT3,DDR3,https://www.amd.com/en/product/5866,Laptop,90,1600,5866
493,4,4,6204,,32,3300,,512,4096,16384,115,AMD Opteron 6200 Series Processor,G34,DDR3,https://www.amd.com/en/product/1806,Server,74.4,2000,1806
494,2,2,E2-3000 with Radeon HD 8280,,28,1650,,,1024,,15,AMD E2-Series APU for Laptops,FT3,Not Listed,https://www.amd.com/en/product/5876,Laptop,,,5876
495,12,12,6180 SE,,,2500,,1536,6144,12288,140,AMD Opteron 6100 Series Processor,G34,DDR3,https://www.amd.com/en/product/1801,Server,64,1800,1801
496,12,12,6176,,,2300,,1536,6144,12288,115,AMD Opteron 6100 Series Processor,G34,DDR3,https://www.amd.com/en/product/1536,Server,69,1800,1536
497,12,12,6166 HE,,,1800,,1536,6144,12288,85,AMD Opteron 6100 Series Processor,G34,DDR3,https://www.amd.com/en/product/1531,Server,69,1800,1531
498,8,8,6140,,,2600,,1024,4096,12288,115,AMD Opteron 6100 Series Processor,G34,DDR3,https://www.amd.com/en/product/1526,Server,69,1800,1526
499,8,8,6132 HE,,,2200,,1024,4096,12288,85,AMD Opteron 6100 Series Processor,G34,DDR3,https://www.amd.com/en/product/1521,Server,66,1800,1521
500,4,4,E2-7110 with Radeon R2 Graphics,,28,1800,1800,,2048,,65,AMD E2-Series APU for AIOs,FP4,DDR3L,https://www.amd.com/en/product/6011,All-in-One,90,1600,6011
501,8,8,4386,,32,3100,3800,384,8192,8192,95,AMD Opteron 4300 Series Processor,C32,DDR3,https://www.amd.com/en/product/1516,Server,70.5,2200,1516
502,8,8,4376 HE,,32,2600,3600,384,8192,8192,65,AMD Opteron 4300 Series Processor,C32,DDR3,https://www.amd.com/en/product/1511,Server,68,2000,1511
503,8,8,4365,,32,2000,2800,384,8192,8192,40,AMD Opteron 4300 Series Processor,C32,DDR3,https://www.amd.com/en/product/1506,Server,70,1600,1506
504,6,6,4340,,32,3500,3800,288,6144,8192,95,AMD Opteron 4300 Series Processor,C32,DDR3,https://www.amd.com/en/product/1501,Server,67.7,2200,1501
505,6,6,4334,,32,3100,3500,288,6144,8192,95,AMD Opteron 4300 Series Processor,C32,DDR3,https://www.amd.com/en/product/1496,Server,67.7,2000,1496
506,6,6,4332 HE,,32,3000,3700,288,6144,8192,65,AMD Opteron 4300 Series Processor,C32,DDR3,https://www.amd.com/en/product/1491,Server,68,2000,1491
507,2,2,E1-7010 with Radeon R2 Graphics,,28,1500,1500,,1024,,10,AMD E1-Series APU for Laptops,FP4,DDR3L,https://www.amd.com/en/product/5971,Laptop,90,1333,5971
508,2,2,E1 Micro-6200T with Radeon R2 Graphics,,28,1400,,,1024,,3.95,AMD E1-Series APU for Laptops,FT3b,Not Listed,https://www.amd.com/en/product/5861,"Laptop, Tablet",,,5861
509,6,6,4310 EE,,32,2200,3000,192,4096,8192,35,AMD Opteron 4300 Series Processor,C32,DDR3,https://www.amd.com/en/product/1486,Server,85,1600,1486
510,8,8,4284,,32,3000,3700,384,8192,8192,95,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1796,Server,70.5,2200,1796
511,2,2,E1-6010 with Radeon R2 Graphics,,28,1350,,,1024,,10,AMD E1-Series APU for Laptops,FT3b,Not Listed,https://www.amd.com/en/product/5856,Laptop,,,5856
512,8,8,4280,,32,2800,2200,384,8192,8192,95,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1791,Server,70.5,2200,1791
513,8,8,4276 HE,,32,2600,3600,384,8192,8192,65,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1786,Server,68,2000,1786
514,2,2,E1-2500 with Radeon HD 8240,,28,1400,,,1024,,15,AMD E1-Series APU for Laptops,FT3,Not Listed,https://www.amd.com/en/product/5851,Laptop,,,5851
515,8,8,4274 HE,,32,2500,3500,384,8192,8192,65,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1781,Server,68,2000,1781
516,2,2,E1-2200 with Radeon HD 8210,,28,1000,,,1024,,9,AMD E1-Series APU for Laptops,FT3,Not Listed,https://www.amd.com/en/product/5846,Laptop,,,5846
517,8,8,4256 EE,,32,1600,2800,384,8192,8192,35,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1776,Server,64,1600,1776
518,2,2,E1-2100 with Radeon HD 8210,,28,1000,,,1024,,9,AMD E1-Series APU for Laptops,FT3,Not Listed,https://www.amd.com/en/product/5841,Laptop,,,5841
519,6,6,4240,,32,3400,3800,288,6144,8192,95,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1771,Server,70.5,,1771
520,6,6,4238,,32,3300,3700,288,6144,8192,95,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1766,Server,70.5,2200,1766
521,2,2,E1-7010 with Radeon R2 Graphics,,28,1500,1500,,1024,,,AMD E1-Series APU for AIOs,FP4,DDR3L,https://www.amd.com/en/product/6016,All-in-One,90,1333,6016
522,6,6,4234,,32,3100,3500,288,6144,8192,95,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1761,Server,70.5,2200,1761
523,6,6,4230 HE,,32,2900,3700,288,6144,8192,65,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1756,Server,68,2000,1756
524,6,6,4228 HE,,32,2800,3600,288,6144,8192,65,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1751,Server,68,2000,1751
525,6,6,4226,,32,2700,3100,288,6144,8192,95,AMD Opteron 4200 Series Processor,C32,DDR3,https://www.amd.com/en/product/1746,Server,70.5,2000,1746
526,8,8,3380,,32,2600,3600,384,8192,8192,65,AMD Opteron 3300 Series Processor,AM3+,DDR3,https://www.amd.com/en/product/1741,Server,70.3,2000,1741
527,8,8,3365,,32,2300,3300,384,8192,8192,65,AMD Opteron 3300 Series Processor,AM3+,DDR3,https://www.amd.com/en/product/1736,Server,70.3,2000,1736
528,4,4,3350 HE,,32,2800,3800,192,4096,8192,45,AMD Opteron 3300 Series Processor,AM3+,DDR3,https://www.amd.com/en/product/1731,Server,69.1,2000,1731
529,4,4,3320 EE,,32,1900,2500,192,4096,8192,25,AMD Opteron 3300 Series Processor,AM3+,DDR3,https://www.amd.com/en/product/1726,Server,70,1400,1726
530,8,8,3280,,32,2400,3400,384,8192,8192,65,AMD Opteron 3200 Series Processor,AM3+,DDR3,https://www.amd.com/en/product/1721,Server,61.1,2000,1721
531,4,4,3260 HE,,32,2700,3700,192,4096,4096,45,AMD Opteron 3200 Series Processor,AM3+,DDR3,https://www.amd.com/en/product/1716,Server,61.1,2000,1716
532,4,4,AMD Opteron X2170,,28,2400,,,2048,,25,AMD Opteron X2100 Series APU,FT3,DDR3,https://www.amd.com/en/product/1266,Server,,1866,1266
533,,,3250 HE,,32,2500,3500,192,4096,4096,45,AMD Opteron 3200 Series Processor,AM3+,DDR3,https://www.amd.com/en/product/1711,Server,,2000,1711
534,4,4,AMD Opteron X2150 APU,,28,1900,,,2048,,22,AMD Opteron X2100 Series APU,FT3,DDR3,https://www.amd.com/en/product/5656,Server,,,5656
535,2,2,TL-64,,,2200,,,1024,,35,AMD Turion 64 X2 Dual-Core Mobile Technology,S1,DDR2,https://www.amd.com/en/product/1706,Laptop,95,667,1706
536,2,2,TL-60,,,2000,,,1024,,31,AMD Turion 64 X2 Dual-Core Mobile Technology,S1,DDR2,https://www.amd.com/en/product/1701,Laptop,,667,1701
537,,,TL-56,,,1800,,,,,31,AMD Turion 64 X2 Dual-Core Mobile Technology,S1,Not Listed,https://www.amd.com/en/product/1696,Laptop,,,1696
538,2,2,TL-52,,,1600,,,2048,,31,AMD Turion 64 X2 Dual-Core Mobile Technology,S1,Not Listed,https://www.amd.com/en/product/1921,Laptop,,,1921
