id,cores,threads,name,launch_date,lithography,base_frequency,turbo_frequency,cache_l1,cache_l2,cache_l3,tdp,product_line,socket,memory_type,url,vertical_segment,max_temp,max_memory_speed,sku
167,4,8,AMD Ryzen 5 PRO 3500U,4/8/2019,12,2100,3700,384,2048,4096,15,AMD Ryzen 5 PRO Mobile Processors with Radeon Vega Graphics,FP5,,https://www.amd.com/en/product/8411,Laptop,95,2400,8411
168,8,16,AMD Ryzen 7 PRO 1700,06/29/2017,14,3000,3700,768,4096,16384,65,AMD Ryzen 7 PRO Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/2016,Desktop,95,2667,2016
169,6,12,AMD Ryzen 5 PRO 2600,,12,3400,3900,576,3072,16384,65,AMD Ryzen 5 PRO Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/8246,Desktop,95,2933,8246
170,2,4,AMD Athlon PRO 3145B,Q12021,14,2400,3300,196608,1024,4096,15,AMD Athlon PRO Mobile Processors with Radeon Graphics,FP5,DDR4,https://www.amd.com/en/product/10896,Laptop,100,2400,10896
171,4,4,AMD Ryzen 3 PRO 3300U,4/8/2019,12,2100,3500,384,2048,4096,15,AMD Ryzen 3 PRO Mobile Processors with Radeon Vega Graphics,FP5,,https://www.amd.com/en/product/8406,Laptop,95,2400,8406
172,2,2,AMD Athlon PRO 3045B,Q12021,14,2300,3200,196608,1024,4096,15,AMD Athlon PRO Mobile Processors with Radeon Graphics,FP5,DDR4,https://www.amd.com/en/product/10901,Laptop,100,2400,10901
173,6,12,AMD Ryzen 5 PRO 1600,06/29/2017,14,3200,3600,576,3072,16384,65,AMD Ryzen 5 PRO Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/2021,Desktop,95,2667,2021
174,2,4,AMD Athlon PRO 300U Mobile Processor with Radeon Vega 3 Graphics,,14,2400,3300,384,1024,4096,15,AMD Athlon PRO Mobile Processors with Radeon Vega Graphics,FP5,,https://www.amd.com/en/product/8421,Laptop,95,2400,8421
175,4,8,AMD Ryzen 5 PRO 1500,06/29/2017,14,3500,3700,384,2048,16384,65,AMD Ryzen 5 PRO Desktop Processors,AM4,DDR4,https://www.amd.com/en/product/2026,Desktop,95,2667,2026
176,4,8,AMD Ryzen 7 PRO 2700U,Q1 2019,14,2200,3800,384,2048,4096,15,AMD Ryzen 7 PRO Mobile Processors with Radeon Vega Graphics,FP5,DDR4,https://www.amd.com/en/product/7206,Laptop,95,2400,7206
177,4,8,AMD Ryzen 5 PRO 2400G with Radeon Vega 11 Graphics,5/10/2018,14,3600,3900,384,2048,4096,65,AMD Ryzen 5 PRO Desktop Processors with Radeon Vega Graphics,AM4,,https://www.amd.com/en/product/7771,Desktop,95,2933,7771
